Teams ,Arsenal,Bournemouth,Brighton,Burnley,Cardiff City,Chelsea,Crystal Palace,Everton,Fulham,Huddersfield Town,Leicester City,Liverpool,Man City,Man Utd,Newcastle United,Southampton,Spurs,Watford,West Ham,Wolves,
Arsenal,0,6,2,6,6,3,1,3,6,6,3,1,0,4,6,3,4,6,3,1,
Bournemouth,0,0,6,0,3,3,3,1,3,6,3,0,0,0,1,2,3,4,6,1,
Brighton,2,0,0,0,0,0,6,3,1,6,1,0,0,3,4,1,0,1,4,4,
Burnley,0,6,6,0,6,1,0,0,3,4,1,0,0,1,0,2,3,1,3,3,
Cardiff City,0,3,6,0,0,0,1,0,3,2,3,0,0,3,1,6,0,0,3,3,
Chelsea,3,3,6,4,6,0,6,1,6,6,1,1,3,2,6,4,3,6,4,1,
Crystal Palace,4,3,0,6,4,0,0,1,6,6,6,0,3,1,4,1,0,0,1,3,
Everton,3,4,3,6,6,4,4,0,3,4,3,1,0,3,1,3,1,1,3,1,
Fulham,0,3,4,3,3,0,0,3,0,3,1,0,0,0,1,3,0,1,0,1,
Huddersfield Town,0,0,0,1,2,0,0,1,3,0,0,0,0,1,0,1,0,0,1,6,
Leicester City,3,3,4,4,3,4,0,3,4,6,0,1,3,0,3,3,0,3,2,3,
Liverpool,4,6,6,6,6,4,6,4,6,6,4,0,1,4,6,6,6,6,4,6,
Man City,6,6,6,6,6,3,3,6,6,6,3,4,0,6,3,6,6,6,6,4,
Man Utd,1,6,3,4,3,2,4,3,6,4,6,1,0,0,6,4,3,6,3,1,
Newcastle United,0,4,1,6,4,0,1,4,4,6,3,0,3,0,0,4,0,4,0,1,
Southampton,3,2,4,2,0,1,4,3,3,4,3,0,0,1,1,0,3,2,0,3,
Spurs,1,3,6,3,6,3,6,4,6,6,6,0,0,3,6,3,0,3,3,3,
Watford,0,1,4,4,6,0,6,4,4,6,3,0,0,0,1,2,3,0,3,3,
West Ham,3,0,1,3,3,1,4,3,6,4,2,1,0,3,6,6,3,3,0,0,
Wolves,4,4,1,3,3,4,3,4,4,0,3,0,1,4,4,3,3,3,6,0,